tweet,intent,human_reply,escalation
Someone hacked my account and changed the primary email address. Help urgently!,Account Access,We treat security alerts with immediate urgency. Please contact our specialized fraud team right away via amzn.to/security or DM us your registered phone number. ^AB,ESCALATE_TO_HUMAN
"Cannot sign in to my Amazon Prime Video app, it keeps saying invalid password even after reset.",Account Access,"Sorry for the login hassle! Please ensure your app is updated to the latest version. If it persists, DM us the device details and your account email. ^NR",AUTO_HANDLE
I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,Account Access,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK,AUTO_HANDLE
"Cannot sign in to my Amazon Prime Video app, it keeps saying invalid password even after reset.",Account Access,"Sorry for the login hassle! Please ensure your app is updated to the latest version. If it persists, DM us the device details and your account email. ^NR",AUTO_HANDLE
Someone hacked my account and changed the primary email address. Help urgently!,Account Access,We treat security alerts with immediate urgency. Please contact our specialized fraud team right away via amzn.to/security or DM us your registered phone number. ^AB,ESCALATE_TO_HUMAN
My account got suspended without any explanation. How do I appeal this decision?,Account Access,We understand your concern. Account suspensions are reviewed by our specialized Account Review team. Please check your inbox for an email from our team or DM us. ^KJ,AUTO_HANDLE
I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,Account Access,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK,AUTO_HANDLE
My account got suspended without any explanation. How do I appeal this decision?,Account Access,We understand your concern. Account suspensions are reviewed by our specialized Account Review team. Please check your inbox for an email from our team or DM us. ^KJ,AUTO_HANDLE
"Cannot sign in to my Amazon Prime Video app, it keeps saying invalid password even after reset.",Account Access,"Sorry for the login hassle! Please ensure your app is updated to the latest version. If it persists, DM us the device details and your account email. ^NR",AUTO_HANDLE
"Credit card is declined only on Amazon website, works fine elsewhere. Please fix this.",Payment Issue,This may be caused by an expired billing address on file. Please verify your billing details at amzn.to/payments or DM us for further assistance. ^KL,AUTO_HANDLE
"Credit card is declined only on Amazon website, works fine elsewhere. Please fix this.",Payment Issue,This may be caused by an expired billing address on file. Please verify your billing details at amzn.to/payments or DM us for further assistance. ^KL,AUTO_HANDLE
"Credit card is declined only on Amazon website, works fine elsewhere. Please fix this.",Payment Issue,This may be caused by an expired billing address on file. Please verify your billing details at amzn.to/payments or DM us for further assistance. ^KL,AUTO_HANDLE
My Amazon Pay balance is not showing up when I try to pay for my grocery order.,Payment Issue,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV",AUTO_HANDLE
My Amazon Pay balance is not showing up when I try to pay for my grocery order.,Payment Issue,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV",AUTO_HANDLE
I tried to redeem a $50 gift card and it says code already redeemed by someone else.,Payment Issue,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC,AUTO_HANDLE
"Credit card is declined only on Amazon website, works fine elsewhere. Please fix this.",Payment Issue,This may be caused by an expired billing address on file. Please verify your billing details at amzn.to/payments or DM us for further assistance. ^KL,AUTO_HANDLE
I tried to redeem a $50 gift card and it says code already redeemed by someone else.,Payment Issue,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC,AUTO_HANDLE
My Amazon Pay balance is not showing up when I try to pay for my grocery order.,Payment Issue,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV",AUTO_HANDLE
I tried to redeem a $50 gift card and it says code already redeemed by someone else.,Payment Issue,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC,AUTO_HANDLE
I tried to redeem a $50 gift card and it says code already redeemed by someone else.,Payment Issue,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC,AUTO_HANDLE
My Amazon Pay balance is not showing up when I try to pay for my grocery order.,Payment Issue,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV",AUTO_HANDLE
I tried to redeem a $50 gift card and it says code already redeemed by someone else.,Payment Issue,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC,AUTO_HANDLE
My debit card payment failed during checkout but the money was deducted from my account.,Payment Issue,"When a transaction fails, debited funds are held by the bank and automatically reversed within 5-7 business days. DM us if you need payment failure logs. ^AB",AUTO_HANDLE
My Amazon Pay balance is not showing up when I try to pay for my grocery order.,Payment Issue,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV",AUTO_HANDLE
I tried to redeem a $50 gift card and it says code already redeemed by someone else.,Payment Issue,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC,AUTO_HANDLE
My Amazon Pay balance is not showing up when I try to pay for my grocery order.,Payment Issue,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV",AUTO_HANDLE
I tried to redeem a $50 gift card and it says code already redeemed by someone else.,Payment Issue,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC,AUTO_HANDLE
My debit card payment failed during checkout but the money was deducted from my account.,Payment Issue,"When a transaction fails, debited funds are held by the bank and automatically reversed within 5-7 business days. DM us if you need payment failure logs. ^AB",AUTO_HANDLE
"Credit card is declined only on Amazon website, works fine elsewhere. Please fix this.",Payment Issue,This may be caused by an expired billing address on file. Please verify your billing details at amzn.to/payments or DM us for further assistance. ^KL,AUTO_HANDLE
My debit card payment failed during checkout but the money was deducted from my account.,Payment Issue,"When a transaction fails, debited funds are held by the bank and automatically reversed within 5-7 business days. DM us if you need payment failure logs. ^AB",AUTO_HANDLE
My Amazon Pay balance is not showing up when I try to pay for my grocery order.,Payment Issue,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV",AUTO_HANDLE
My debit card payment failed during checkout but the money was deducted from my account.,Payment Issue,"When a transaction fails, debited funds are held by the bank and automatically reversed within 5-7 business days. DM us if you need payment failure logs. ^AB",AUTO_HANDLE
The blender stopped working after just 2 uses. Motor started smoking. What is the warranty process?,Product Complaint,Safety is our utmost priority. Please discontinue using the blender immediately. DM us your order ID so we can coordinate a return and manufacturer warranty support. ^HN,AUTO_HANDLE
The laptop I received today has a cracked screen and doesn't power on. Terrible packaging!,Product Complaint,We are very sorry to hear your laptop arrived damaged! Please DM us your order number so we can arrange an immediate pickup and expedited replacement. ^AB,AUTO_HANDLE
The laptop I received today has a cracked screen and doesn't power on. Terrible packaging!,Product Complaint,We are very sorry to hear your laptop arrived damaged! Please DM us your order number so we can arrange an immediate pickup and expedited replacement. ^AB,AUTO_HANDLE
The perfume I bought smells fake and the seal was clearly broken. How do you allow counterfeit items?,Product Complaint,Amazon strictly prohibits counterfeit items. We take this very seriously. Please DM us your order details so our investigation team can review the seller. ^RK,AUTO_HANDLE
The blender stopped working after just 2 uses. Motor started smoking. What is the warranty process?,Product Complaint,Safety is our utmost priority. Please discontinue using the blender immediately. DM us your order ID so we can coordinate a return and manufacturer warranty support. ^HN,AUTO_HANDLE
The perfume I bought smells fake and the seal was clearly broken. How do you allow counterfeit items?,Product Complaint,Amazon strictly prohibits counterfeit items. We take this very seriously. Please DM us your order details so our investigation team can review the seller. ^RK,AUTO_HANDLE
Received the wrong color and size for the jacket I ordered. I ordered Medium Black not XL Yellow.,Product Complaint,Apologies for the mix-up! You can easily set up a free return and replacement via Your Orders or DM us and we'll process it for you right away. ^MP,AUTO_HANDLE
Received the wrong color and size for the jacket I ordered. I ordered Medium Black not XL Yellow.,Product Complaint,Apologies for the mix-up! You can easily set up a free return and replacement via Your Orders or DM us and we'll process it for you right away. ^MP,AUTO_HANDLE
Received the wrong color and size for the jacket I ordered. I ordered Medium Black not XL Yellow.,Product Complaint,Apologies for the mix-up! You can easily set up a free return and replacement via Your Orders or DM us and we'll process it for you right away. ^MP,AUTO_HANDLE
The blender stopped working after just 2 uses. Motor started smoking. What is the warranty process?,Product Complaint,Safety is our utmost priority. Please discontinue using the blender immediately. DM us your order ID so we can coordinate a return and manufacturer warranty support. ^HN,AUTO_HANDLE
The blender stopped working after just 2 uses. Motor started smoking. What is the warranty process?,Product Complaint,Safety is our utmost priority. Please discontinue using the blender immediately. DM us your order ID so we can coordinate a return and manufacturer warranty support. ^HN,AUTO_HANDLE
The laptop I received today has a cracked screen and doesn't power on. Terrible packaging!,Product Complaint,We are very sorry to hear your laptop arrived damaged! Please DM us your order number so we can arrange an immediate pickup and expedited replacement. ^AB,AUTO_HANDLE
The blender stopped working after just 2 uses. Motor started smoking. What is the warranty process?,Product Complaint,Safety is our utmost priority. Please discontinue using the blender immediately. DM us your order ID so we can coordinate a return and manufacturer warranty support. ^HN,AUTO_HANDLE
Received the wrong color and size for the jacket I ordered. I ordered Medium Black not XL Yellow.,Product Complaint,Apologies for the mix-up! You can easily set up a free return and replacement via Your Orders or DM us and we'll process it for you right away. ^MP,AUTO_HANDLE
The perfume I bought smells fake and the seal was clearly broken. How do you allow counterfeit items?,Product Complaint,Amazon strictly prohibits counterfeit items. We take this very seriously. Please DM us your order details so our investigation team can review the seller. ^RK,AUTO_HANDLE
The laptop I received today has a cracked screen and doesn't power on. Terrible packaging!,Product Complaint,We are very sorry to hear your laptop arrived damaged! Please DM us your order number so we can arrange an immediate pickup and expedited replacement. ^AB,AUTO_HANDLE
The blender stopped working after just 2 uses. Motor started smoking. What is the warranty process?,Product Complaint,Safety is our utmost priority. Please discontinue using the blender immediately. DM us your order ID so we can coordinate a return and manufacturer warranty support. ^HN,AUTO_HANDLE
Received the wrong color and size for the jacket I ordered. I ordered Medium Black not XL Yellow.,Product Complaint,Apologies for the mix-up! You can easily set up a free return and replacement via Your Orders or DM us and we'll process it for you right away. ^MP,AUTO_HANDLE
The perfume I bought smells fake and the seal was clearly broken. How do you allow counterfeit items?,Product Complaint,Amazon strictly prohibits counterfeit items. We take this very seriously. Please DM us your order details so our investigation team can review the seller. ^RK,AUTO_HANDLE
The blender stopped working after just 2 uses. Motor started smoking. What is the warranty process?,Product Complaint,Safety is our utmost priority. Please discontinue using the blender immediately. DM us your order ID so we can coordinate a return and manufacturer warranty support. ^HN,AUTO_HANDLE
The blender stopped working after just 2 uses. Motor started smoking. What is the warranty process?,Product Complaint,Safety is our utmost priority. Please discontinue using the blender immediately. DM us your order ID so we can coordinate a return and manufacturer warranty support. ^HN,AUTO_HANDLE
The perfume I bought smells fake and the seal was clearly broken. How do you allow counterfeit items?,Product Complaint,Amazon strictly prohibits counterfeit items. We take this very seriously. Please DM us your order details so our investigation team can review the seller. ^RK,AUTO_HANDLE
Received the wrong color and size for the jacket I ordered. I ordered Medium Black not XL Yellow.,Product Complaint,Apologies for the mix-up! You can easily set up a free return and replacement via Your Orders or DM us and we'll process it for you right away. ^MP,AUTO_HANDLE
Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,Delivery Problem,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST,AUTO_HANDLE
Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,Delivery Problem,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST,AUTO_HANDLE
"App says delivered to front porch at 2 PM, but I was home and nothing was delivered. Package missing!",Delivery Problem,"Sometimes carriers mark items delivered prematurely. Please check around your property or with neighbors. If it doesn't show up in 24 hours, DM us. ^AB",AUTO_HANDLE
"Courier marked customer unavailable, but I waited home all day. Nobody even rang the bell.",Delivery Problem,We're sorry for the inconvenience! Please DM us your tracking details and best contact number so we can instruct the local delivery hub to re-attempt today. ^MN,AUTO_HANDLE
"Courier marked customer unavailable, but I waited home all day. Nobody even rang the bell.",Delivery Problem,We're sorry for the inconvenience! Please DM us your tracking details and best contact number so we can instruct the local delivery hub to re-attempt today. ^MN,AUTO_HANDLE
"App says delivered to front porch at 2 PM, but I was home and nothing was delivered. Package missing!",Delivery Problem,"Sometimes carriers mark items delivered prematurely. Please check around your property or with neighbors. If it doesn't show up in 24 hours, DM us. ^AB",AUTO_HANDLE
"App says delivered to front porch at 2 PM, but I was home and nothing was delivered. Package missing!",Delivery Problem,"Sometimes carriers mark items delivered prematurely. Please check around your property or with neighbors. If it doesn't show up in 24 hours, DM us. ^AB",AUTO_HANDLE
"App says delivered to front porch at 2 PM, but I was home and nothing was delivered. Package missing!",Delivery Problem,"Sometimes carriers mark items delivered prematurely. Please check around your property or with neighbors. If it doesn't show up in 24 hours, DM us. ^AB",AUTO_HANDLE
Package delivered to wrong address down the street. Driver didn't even check the house number.,Delivery Problem,We apologize for the delivery error. Please DM us your order number and full delivery address so we can retrieve or replace your package immediately. ^FG,AUTO_HANDLE
Package delivered to wrong address down the street. Driver didn't even check the house number.,Delivery Problem,We apologize for the delivery error. Please DM us your order number and full delivery address so we can retrieve or replace your package immediately. ^FG,AUTO_HANDLE
Package delivered to wrong address down the street. Driver didn't even check the house number.,Delivery Problem,We apologize for the delivery error. Please DM us your order number and full delivery address so we can retrieve or replace your package immediately. ^FG,AUTO_HANDLE
