tweet_id,author_id,in_response_to_tweet_id,created_at,text,response_tweet_id,inbound,human_reply,intent,clean_text,clean_reply
100020,customer_100020,,2023-10-15 12:00:00,I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,100021,True,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK,Account Access,I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK
100022,customer_100022,,2023-10-15 12:00:00,My Amazon Pay balance is not showing up when I try to pay for my grocery order.,100023,True,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV",Payment Issue,My Amazon Pay balance is not showing up when I try to pay for my grocery order.,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV"
100024,customer_100024,,2023-10-15 12:00:00,The blender stopped working after just 2 uses. Motor started smoking. What is the warranty process?,100025,True,Safety is our utmost priority. Please discontinue using the blender immediately. DM us your order ID so we can coordinate a return and manufacturer warranty support. ^HN,Product Complaint,The blender stopped working after just 2 uses. Motor started smoking. What is the warranty process?,Safety is our utmost priority. Please discontinue using the blender immediately. DM us your order ID so we can coordinate a return and manufacturer warranty support. ^HN
100026,customer_100026,,2023-10-15 12:00:00,Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,100027,True,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST,Delivery Problem,Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST
100028,customer_100028,,2023-10-15 12:00:00,The return window closed yesterday by 1 day. Is there any way I can still return this unused item?,100029,True,We can check if an exception can be made for you. Please DM us your order number and reason for return so an agent can review your account. ^WE,Return Request,The return window closed yesterday by 1 day. Is there any way I can still return this unused item?,We can check if an exception can be made for you. Please DM us your order number and reason for return so an agent can review your account. ^WE
100030,customer_100030,,2023-10-15 12:00:00,Does Amazon Prime membership include Kindle Unlimited books?,100031,True,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP",Other,Does Amazon Prime membership include Kindle Unlimited books?,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP"
100032,customer_100032,,2023-10-15 12:00:00,My order #877-3678638 has been delayed for 4 days now. Still waiting for any update! What is going on?,100033,True,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB,Order Delay,My order #877-3678638 has been delayed for 4 days now. Still waiting for any update! What is going on?,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB
100034,customer_100034,,2023-10-15 12:00:00,Can you please refund the money for the missing item in my package?,100035,True,We apologize for the missing item! Please DM us your order ID and confirm which item was missing so we can process a full refund or replacement immediately. ^TR,Refund Request,Can you please refund the money for the missing item in my package?,We apologize for the missing item! Please DM us your order ID and confirm which item was missing so we can process a full refund or replacement immediately. ^TR
100036,customer_100036,,2023-10-15 12:00:00,"Cannot sign in to my Amazon Prime Video app, it keeps saying invalid password even after reset.",100037,True,"Sorry for the login hassle! Please ensure your app is updated to the latest version. If it persists, DM us the device details and your account email. ^NR",Account Access,"Cannot sign in to my Amazon Prime Video app, it keeps saying invalid password even after reset.","Sorry for the login hassle! Please ensure your app is updated to the latest version. If it persists, DM us the device details and your account email. ^NR"
100038,customer_100038,,2023-10-15 12:00:00,I tried to redeem a $50 gift card and it says code already redeemed by someone else.,100039,True,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC,Payment Issue,I tried to redeem a $50 gift card and it says code already redeemed by someone else.,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC
100040,customer_100040,,2023-10-15 12:00:00,The perfume I bought smells fake and the seal was clearly broken. How do you allow counterfeit items?,100041,True,Amazon strictly prohibits counterfeit items. We take this very seriously. Please DM us your order details so our investigation team can review the seller. ^RK,Product Complaint,The perfume I bought smells fake and the seal was clearly broken. How do you allow counterfeit items?,Amazon strictly prohibits counterfeit items. We take this very seriously. Please DM us your order details so our investigation team can review the seller. ^RK
100042,customer_100042,,2023-10-15 12:00:00,Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,100043,True,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST,Delivery Problem,Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST
100044,customer_100044,,2023-10-15 12:00:00,Can I drop off my Amazon return at Kohl's or Whole Foods without a box or label?,100045,True,Yes! Most returns can be dropped off packaging-free at participating Kohl's or Whole Foods with your return QR code. DM us if you'd like us to confirm eligibility. ^JH,Return Request,Can I drop off my Amazon return at Kohl's or Whole Foods without a box or label?,Yes! Most returns can be dropped off packaging-free at participating Kohl's or Whole Foods with your return QR code. DM us if you'd like us to confirm eligibility. ^JH
100046,customer_100046,,2023-10-15 12:00:00,Are you having a sale on Echo Dot devices next week for Prime Day?,100047,True,"We don't announce promotional deals in advance, but keep an eye on our Today's Deals page at amzn.to/deals for the latest announcements! ^AB",Other,Are you having a sale on Echo Dot devices next week for Prime Day?,"We don't announce promotional deals in advance, but keep an eye on our Today's Deals page at amzn.to/deals for the latest announcements! ^AB"
100048,customer_100048,,2023-10-15 12:00:00,My order #489-2622631 has been delayed for 4 days now. Still waiting for any update! What is going on?,100049,True,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB,Order Delay,My order #489-2622631 has been delayed for 4 days now. Still waiting for any update! What is going on?,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB
100050,customer_100050,,2023-10-15 12:00:00,I canceled the order before it dispatched. When will the refund be credited back to my bank?,100051,True,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK",Refund Request,I canceled the order before it dispatched. When will the refund be credited back to my bank?,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK"
100052,customer_100052,,2023-10-15 12:00:00,"Cannot sign in to my Amazon Prime Video app, it keeps saying invalid password even after reset.",100053,True,"Sorry for the login hassle! Please ensure your app is updated to the latest version. If it persists, DM us the device details and your account email. ^NR",Account Access,"Cannot sign in to my Amazon Prime Video app, it keeps saying invalid password even after reset.","Sorry for the login hassle! Please ensure your app is updated to the latest version. If it persists, DM us the device details and your account email. ^NR"
100054,customer_100054,,2023-10-15 12:00:00,I tried to redeem a $50 gift card and it says code already redeemed by someone else.,100055,True,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC,Payment Issue,I tried to redeem a $50 gift card and it says code already redeemed by someone else.,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC
100056,customer_100056,,2023-10-15 12:00:00,The laptop I received today has a cracked screen and doesn't power on. Terrible packaging!,100057,True,We are very sorry to hear your laptop arrived damaged! Please DM us your order number so we can arrange an immediate pickup and expedited replacement. ^AB,Product Complaint,The laptop I received today has a cracked screen and doesn't power on. Terrible packaging!,We are very sorry to hear your laptop arrived damaged! Please DM us your order number so we can arrange an immediate pickup and expedited replacement. ^AB
100058,customer_100058,,2023-10-15 12:00:00,"Courier marked customer unavailable, but I waited home all day. Nobody even rang the bell.",100059,True,We're sorry for the inconvenience! Please DM us your tracking details and best contact number so we can instruct the local delivery hub to re-attempt today. ^MN,Delivery Problem,"Courier marked customer unavailable, but I waited home all day. Nobody even rang the bell.",We're sorry for the inconvenience! Please DM us your tracking details and best contact number so we can instruct the local delivery hub to re-attempt today. ^MN
100060,customer_100060,,2023-10-15 12:00:00,How do I return an item that doesn't fit? Where do I get the return shipping label?,100061,True,You can initiate a return by visiting Your Orders -> Return or Replace Items to print a prepaid label or generate a QR drop-off code. DM us if you need help! ^AB,Return Request,How do I return an item that doesn't fit? Where do I get the return shipping label?,You can initiate a return by visiting Your Orders -> Return or Replace Items to print a prepaid label or generate a QR drop-off code. DM us if you need help! ^AB
100062,customer_100062,,2023-10-15 12:00:00,I need an invoice copy for my business expense reimbursement from last month.,100063,True,You can download official VAT/GST invoices directly from Your Orders -> Order Details -> Invoice. DM us your order number if you encounter any issue! ^KL,Other,I need an invoice copy for my business expense reimbursement from last month.,You can download official VAT/GST invoices directly from Your Orders -> Order Details -> Invoice. DM us your order number if you encounter any issue! ^KL
100064,customer_100064,,2023-10-15 12:00:00,My order #665-5918715 has been delayed for 4 days now. Still waiting for any update! What is going on?,100065,True,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB,Order Delay,My order #665-5918715 has been delayed for 4 days now. Still waiting for any update! What is going on?,We apologize for the delay with your order! Please DM us your order ID and postal code at amzn.to/help so we can look into the status for you. ^AB
100066,customer_100066,,2023-10-15 12:00:00,I canceled the order before it dispatched. When will the refund be credited back to my bank?,100067,True,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK",Refund Request,I canceled the order before it dispatched. When will the refund be credited back to my bank?,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK"
100068,customer_100068,,2023-10-15 12:00:00,Someone hacked my account and changed the primary email address. Help urgently!,100069,True,We treat security alerts with immediate urgency. Please contact our specialized fraud team right away via amzn.to/security or DM us your registered phone number. ^AB,Account Access,Someone hacked my account and changed the primary email address. Help urgently!,We treat security alerts with immediate urgency. Please contact our specialized fraud team right away via amzn.to/security or DM us your registered phone number. ^AB
100070,customer_100070,,2023-10-15 12:00:00,My debit card payment failed during checkout but the money was deducted from my account.,100071,True,"When a transaction fails, debited funds are held by the bank and automatically reversed within 5-7 business days. DM us if you need payment failure logs. ^AB",Payment Issue,My debit card payment failed during checkout but the money was deducted from my account.,"When a transaction fails, debited funds are held by the bank and automatically reversed within 5-7 business days. DM us if you need payment failure logs. ^AB"
100072,customer_100072,,2023-10-15 12:00:00,The laptop I received today has a cracked screen and doesn't power on. Terrible packaging!,100073,True,We are very sorry to hear your laptop arrived damaged! Please DM us your order number so we can arrange an immediate pickup and expedited replacement. ^AB,Product Complaint,The laptop I received today has a cracked screen and doesn't power on. Terrible packaging!,We are very sorry to hear your laptop arrived damaged! Please DM us your order number so we can arrange an immediate pickup and expedited replacement. ^AB
100074,customer_100074,,2023-10-15 12:00:00,Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,100075,True,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST,Delivery Problem,Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST
100076,customer_100076,,2023-10-15 12:00:00,Can I drop off my Amazon return at Kohl's or Whole Foods without a box or label?,100077,True,Yes! Most returns can be dropped off packaging-free at participating Kohl's or Whole Foods with your return QR code. DM us if you'd like us to confirm eligibility. ^JH,Return Request,Can I drop off my Amazon return at Kohl's or Whole Foods without a box or label?,Yes! Most returns can be dropped off packaging-free at participating Kohl's or Whole Foods with your return QR code. DM us if you'd like us to confirm eligibility. ^JH
100078,customer_100078,,2023-10-15 12:00:00,Are you having a sale on Echo Dot devices next week for Prime Day?,100079,True,"We don't announce promotional deals in advance, but keep an eye on our Today's Deals page at amzn.to/deals for the latest announcements! ^AB",Other,Are you having a sale on Echo Dot devices next week for Prime Day?,"We don't announce promotional deals in advance, but keep an eye on our Today's Deals page at amzn.to/deals for the latest announcements! ^AB"
100080,customer_100080,,2023-10-15 12:00:00,Tracking says delayed in transit since Monday. When can I expect delivery?,100081,True,Sorry to hear your package is delayed in transit. Please send us a direct message with your tracking number so our logistics team can investigate. ^RK,Order Delay,Tracking says delayed in transit since Monday. When can I expect delivery?,Sorry to hear your package is delayed in transit. Please send us a direct message with your tracking number so our logistics team can investigate. ^RK
100082,customer_100082,,2023-10-15 12:00:00,I returned my shoes 2 weeks ago and still haven't received my refund. Where is my money?,100083,True,Refunds typically take 3-5 business days after the return is processed at our facility. Please DM us your return tracking details so we can expedite this. ^AB,Refund Request,I returned my shoes 2 weeks ago and still haven't received my refund. Where is my money?,Refunds typically take 3-5 business days after the return is processed at our facility. Please DM us your return tracking details so we can expedite this. ^AB
100084,customer_100084,,2023-10-15 12:00:00,My account got suspended without any explanation. How do I appeal this decision?,100085,True,We understand your concern. Account suspensions are reviewed by our specialized Account Review team. Please check your inbox for an email from our team or DM us. ^KJ,Account Access,My account got suspended without any explanation. How do I appeal this decision?,We understand your concern. Account suspensions are reviewed by our specialized Account Review team. Please check your inbox for an email from our team or DM us. ^KJ
100086,customer_100086,,2023-10-15 12:00:00,I tried to redeem a $50 gift card and it says code already redeemed by someone else.,100087,True,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC,Payment Issue,I tried to redeem a $50 gift card and it says code already redeemed by someone else.,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC
100088,customer_100088,,2023-10-15 12:00:00,The blender stopped working after just 2 uses. Motor started smoking. What is the warranty process?,100089,True,Safety is our utmost priority. Please discontinue using the blender immediately. DM us your order ID so we can coordinate a return and manufacturer warranty support. ^HN,Product Complaint,The blender stopped working after just 2 uses. Motor started smoking. What is the warranty process?,Safety is our utmost priority. Please discontinue using the blender immediately. DM us your order ID so we can coordinate a return and manufacturer warranty support. ^HN
100090,customer_100090,,2023-10-15 12:00:00,Package delivered to wrong address down the street. Driver didn't even check the house number.,100091,True,We apologize for the delivery error. Please DM us your order number and full delivery address so we can retrieve or replace your package immediately. ^FG,Delivery Problem,Package delivered to wrong address down the street. Driver didn't even check the house number.,We apologize for the delivery error. Please DM us your order number and full delivery address so we can retrieve or replace your package immediately. ^FG
100092,customer_100092,,2023-10-15 12:00:00,The courier didn't come to pick up the return package today as scheduled. Please reschedule.,100093,True,Sorry for the missed return pickup! Please DM us your pickup tracking ID and preferred date/time slot so we can rebook the courier for you. ^RT,Return Request,The courier didn't come to pick up the return package today as scheduled. Please reschedule.,Sorry for the missed return pickup! Please DM us your pickup tracking ID and preferred date/time slot so we can rebook the courier for you. ^RT
100094,customer_100094,,2023-10-15 12:00:00,Does Amazon Prime membership include Kindle Unlimited books?,100095,True,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP",Other,Does Amazon Prime membership include Kindle Unlimited books?,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP"
100096,customer_100096,,2023-10-15 12:00:00,"Amazon Prime delivery was promised by 8 PM yesterday, still hasn't arrived. Very disappointed.",100097,True,"We understand how frustrating late deliveries are, especially with Prime. DM us your account email and order details so we can make this right. ^SK",Order Delay,"Amazon Prime delivery was promised by 8 PM yesterday, still hasn't arrived. Very disappointed.","We understand how frustrating late deliveries are, especially with Prime. DM us your account email and order details so we can make this right. ^SK"
100098,customer_100098,,2023-10-15 12:00:00,You charged me twice for my Prime membership renew! Please issue an immediate refund.,100099,True,We're sorry for the billing discrepancy! Please send us a DM with the charge date and the last 4 digits of the card used so we can reverse the duplicate charge. ^MS,Refund Request,You charged me twice for my Prime membership renew! Please issue an immediate refund.,We're sorry for the billing discrepancy! Please send us a DM with the charge date and the last 4 digits of the card used so we can reverse the duplicate charge. ^MS
100100,customer_100100,,2023-10-15 12:00:00,"Cannot sign in to my Amazon Prime Video app, it keeps saying invalid password even after reset.",100101,True,"Sorry for the login hassle! Please ensure your app is updated to the latest version. If it persists, DM us the device details and your account email. ^NR",Account Access,"Cannot sign in to my Amazon Prime Video app, it keeps saying invalid password even after reset.","Sorry for the login hassle! Please ensure your app is updated to the latest version. If it persists, DM us the device details and your account email. ^NR"
100102,customer_100102,,2023-10-15 12:00:00,My debit card payment failed during checkout but the money was deducted from my account.,100103,True,"When a transaction fails, debited funds are held by the bank and automatically reversed within 5-7 business days. DM us if you need payment failure logs. ^AB",Payment Issue,My debit card payment failed during checkout but the money was deducted from my account.,"When a transaction fails, debited funds are held by the bank and automatically reversed within 5-7 business days. DM us if you need payment failure logs. ^AB"
100104,customer_100104,,2023-10-15 12:00:00,The perfume I bought smells fake and the seal was clearly broken. How do you allow counterfeit items?,100105,True,Amazon strictly prohibits counterfeit items. We take this very seriously. Please DM us your order details so our investigation team can review the seller. ^RK,Product Complaint,The perfume I bought smells fake and the seal was clearly broken. How do you allow counterfeit items?,Amazon strictly prohibits counterfeit items. We take this very seriously. Please DM us your order details so our investigation team can review the seller. ^RK
100106,customer_100106,,2023-10-15 12:00:00,Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,100107,True,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST,Delivery Problem,Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST
100108,customer_100108,,2023-10-15 12:00:00,The courier didn't come to pick up the return package today as scheduled. Please reschedule.,100109,True,Sorry for the missed return pickup! Please DM us your pickup tracking ID and preferred date/time slot so we can rebook the courier for you. ^RT,Return Request,The courier didn't come to pick up the return package today as scheduled. Please reschedule.,Sorry for the missed return pickup! Please DM us your pickup tracking ID and preferred date/time slot so we can rebook the courier for you. ^RT
100110,customer_100110,,2023-10-15 12:00:00,I need an invoice copy for my business expense reimbursement from last month.,100111,True,You can download official VAT/GST invoices directly from Your Orders -> Order Details -> Invoice. DM us your order number if you encounter any issue! ^KL,Other,I need an invoice copy for my business expense reimbursement from last month.,You can download official VAT/GST invoices directly from Your Orders -> Order Details -> Invoice. DM us your order number if you encounter any issue! ^KL
100112,customer_100112,,2023-10-15 12:00:00,Where is my order? The tracking has not updated for three days straight.,100113,True,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD,Order Delay,Where is my order? The tracking has not updated for three days straight.,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD
100114,customer_100114,,2023-10-15 12:00:00,I canceled the order before it dispatched. When will the refund be credited back to my bank?,100115,True,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK",Refund Request,I canceled the order before it dispatched. When will the refund be credited back to my bank?,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK"
100116,customer_100116,,2023-10-15 12:00:00,Someone hacked my account and changed the primary email address. Help urgently!,100117,True,We treat security alerts with immediate urgency. Please contact our specialized fraud team right away via amzn.to/security or DM us your registered phone number. ^AB,Account Access,Someone hacked my account and changed the primary email address. Help urgently!,We treat security alerts with immediate urgency. Please contact our specialized fraud team right away via amzn.to/security or DM us your registered phone number. ^AB
100118,customer_100118,,2023-10-15 12:00:00,I tried to redeem a $50 gift card and it says code already redeemed by someone else.,100119,True,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC,Payment Issue,I tried to redeem a $50 gift card and it says code already redeemed by someone else.,We'd like to check the redemption history of this gift card. Please DM us the 16-character claim code and proof of purchase so we can investigate. ^TC
100120,customer_100120,,2023-10-15 12:00:00,The laptop I received today has a cracked screen and doesn't power on. Terrible packaging!,100121,True,We are very sorry to hear your laptop arrived damaged! Please DM us your order number so we can arrange an immediate pickup and expedited replacement. ^AB,Product Complaint,The laptop I received today has a cracked screen and doesn't power on. Terrible packaging!,We are very sorry to hear your laptop arrived damaged! Please DM us your order number so we can arrange an immediate pickup and expedited replacement. ^AB
100122,customer_100122,,2023-10-15 12:00:00,Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,100123,True,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST,Delivery Problem,Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST
100124,customer_100124,,2023-10-15 12:00:00,How do I return an item that doesn't fit? Where do I get the return shipping label?,100125,True,You can initiate a return by visiting Your Orders -> Return or Replace Items to print a prepaid label or generate a QR drop-off code. DM us if you need help! ^AB,Return Request,How do I return an item that doesn't fit? Where do I get the return shipping label?,You can initiate a return by visiting Your Orders -> Return or Replace Items to print a prepaid label or generate a QR drop-off code. DM us if you need help! ^AB
100126,customer_100126,,2023-10-15 12:00:00,Does Amazon Prime membership include Kindle Unlimited books?,100127,True,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP",Other,Does Amazon Prime membership include Kindle Unlimited books?,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP"
100128,customer_100128,,2023-10-15 12:00:00,Where is my order? The tracking has not updated for three days straight.,100129,True,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD,Order Delay,Where is my order? The tracking has not updated for three days straight.,Thanks for reaching out. Tracking can occasionally pause between transit hubs. Please DM your order number and we'll check directly with the carrier. ^JD
100130,customer_100130,,2023-10-15 12:00:00,I canceled the order before it dispatched. When will the refund be credited back to my bank?,100131,True,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK",Refund Request,I canceled the order before it dispatched. When will the refund be credited back to my bank?,"Once an order is canceled, the pre-authorization hold is released within 3-7 business days depending on your bank. Send a DM if you need a transaction receipt. ^LK"
100132,customer_100132,,2023-10-15 12:00:00,I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,100133,True,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK,Account Access,I am locked out of my Amazon account because the 2FA OTP is sending to my old phone number.,Account security is our top priority. Please visit amzn.to/account-recovery or send us a DM so our account verification team can assist you securely. ^PK
100134,customer_100134,,2023-10-15 12:00:00,My Amazon Pay balance is not showing up when I try to pay for my grocery order.,100135,True,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV",Payment Issue,My Amazon Pay balance is not showing up when I try to pay for my grocery order.,"Sorry for the glitch! Try signing out and signing back in. If your balance still isn't available at checkout, please send us a DM with your account email. ^DV"
100136,customer_100136,,2023-10-15 12:00:00,Received the wrong color and size for the jacket I ordered. I ordered Medium Black not XL Yellow.,100137,True,Apologies for the mix-up! You can easily set up a free return and replacement via Your Orders or DM us and we'll process it for you right away. ^MP,Product Complaint,Received the wrong color and size for the jacket I ordered. I ordered Medium Black not XL Yellow.,Apologies for the mix-up! You can easily set up a free return and replacement via Your Orders or DM us and we'll process it for you right away. ^MP
